"시점","항목",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2019","순이동 (명)",0,-49588,-23354,-23673,-2337,-3875,-16342,-10172,23724,134666,1661,2565,-794,-12748,-8788,-4571,-9310,2936
"2019","시도내이동-시군구내 (명)",2659826,406796,125676,112136,150091,75101,65817,50135,28381,744143,104679,107970,104346,117247,84162,131914,200493,50739
"2019","시도내이동-시군구간 전입 (명)",2059624,543831,176434,119033,125990,74251,68178,51848,0,557565,35002,25414,39607,53110,52252,53785,74255,9069
"2019","시도내이동-시군구간 전출 (명)",2059624,543831,176434,119033,125990,74251,68178,51848,0,557565,35002,25414,39607,53110,52252,53785,74255,9069
"2019","시도간전입 (명)",2384948,475866,109594,81250,143933,67778,78429,40073,54017,639254,77945,78012,114837,58418,88069,120812,121503,35158
"2019","시도간전출 (명)",2384948,525454,132948,104923,146270,71653,94771,50245,30293,504588,76284,75447,115631,71166,96857,125383,130813,32222
"2020","총전입 (명)",7735491,1578127,491829,347248,444556,226163,232321,136112,78934,2152572,223354,229895,287127,249083,239016,317701,403339,98114
"2020","총전출 (명)",7735491,1642977,506176,364083,460304,232246,243418,149696,65909,1984199,217897,226441,286386,257577,248770,334679,419997,94736
"2020","순이동 (명)",0,-64850,-14347,-16835,-15748,-6083,-11097,-13584,13025,168373,5457,3454,741,-8494,-9754,-16978,-16658,3378
"2020","시도내이동-시군구내 (명)",2926406,444682,155767,122954,163316,81431,73445,48931,30045,842504,105809,118937,117462,132951,92950,138869,204318,52035
"2020","시도내이동-시군구간 전입 (명)",2274971,623431,214524,133114,134310,77086,77135,46706,0,605557,35254,28216,45904,53507,58263,57609,74992,9363
"2020","시도내이동-시군구간 전출 (명)",2274971,623431,214524,133114,134310,77086,77135,46706,0,605557,35254,28216,45904,53507,58263,57609,74992,9363
"2020","시도간전입 (명)",2534114,510014,121538,91180,146930,67646,81741,40475,48889,704511,82291,82742,123761,62625,87803,121223,124029,36716
"2020","시도간전출 (명)",2534114,574864,135885,108015,162678,73729,92838,54059,35864,536138,76834,79288,123020,71119,97557,138201,140687,33338
"2021","총전입 (명)",7213422,1418187,441323,304761,433137,212888,211565,129880,76912,2036215,217103,214300,282195,223710,223619,317866,374782,94979
"2021","총전출 (명)",7213422,1524430,460226,329080,421714,218771,220496,143554,62827,1885698,210422,210838,273673,229511,228106,314529,388485,91062
"2021","순이동 (명)",0,-106243,-18903,-24319,11423,-5883,-8931,-13674,14085,150517,6681,3462,8522,-5801,-4487,3337,-13703,3917
"2021","시도내이동-시군구내 (명)",2649108,387416,136072,105699,150553,74956,61757,45646,30037,779725,98709,105180,110444,114540,89248,131535,178975,48616
"2021","시도내이동-시군구간 전입 (명)",2117080,569648,189085,115986,126760,73211,69778,44822,0,586091,34936,26250,46065,47692,49323,55875,72297,9261
"2021","시도내이동-시군구간 전출 (명)",2117080,569648,189085,115986,126760,73211,69778,44822,0,586091,34936,26250,46065,47692,49323,55875,72297,9261
"2021","시도간전입 (명)",2447234,461123,116166,83076,155824,64721,80030,39412,46875,670399,83458,82870,125686,61478,85048,130456,123510,37102
"2021","시도간전출 (명)",2447234,567366,135069,107395,144401,70604,88961,53086,32790,519882,76777,79408,117164,67279,89535,127119,137213,33185
