"행정구역별(읍면동)","연령별",2017,2018,2019,2020,2021
"행정구역별(읍면동)","연령별",총인구(명),총인구(명),총인구(명),총인구(명),총인구(명)
"충청남도","85~89세",26401,28914,31609,35174,38580
"충청남도","90~94세",8213,8940,10102,11183,12176
"충청남도","95~99세",1917,2198,2229,2327,2535
"충청남도","100세이상",222,241,295,350,381
"충청남도","15세미만",291263,287660,281398,274828,267671
"충청남도","15~64세",1517145,1530600,1530717,1506660,1496947
"충청남도","65세이상",354018,363156,376534,395148,411342
"충청남도","85세이상",36753,40293,44235,49034,53672
"충청남도","평균연령",41.9,42.3,42.8,43.5,44.1
"충청남도","중위연령",42.2,42.7,43.4,44.3,45.0
"전라북도","합계",1826174,1818157,1807423,1802766,1787053
"전라북도","0~4세",68290,63571,58372,52412,47000
"전라북도","5~9세",80210,78863,77840,76371,73014
"전라북도","10~14세",82865,81024,79205,80415,81088
"전라북도","15~19세",114829,108439,101942,93811,87145
"전라북도","20~24세",128067,128024,124548,123972,118283
"전라북도","25~29세",99015,100946,103749,105427,106105
"전라북도","30~34세",97034,92655,89313,88247,87868
"전라북도","35~39세",120108,118600,114218,107281,101130
"전라북도","40~44세",131711,125991,120833,120614,119858
"전라북도","45~49세",150192,148594,147802,143786,136383
"전라북도","50~54세",140178,142504,146460,148011,150432
"전라북도","55~59세",150771,152161,149653,145176,141576
"전라북도","60~64세",120983,128339,133798,141250,148521
"전라북도","65~69세",97786,97155,100965,106800,112693
"전라북도","70~74세",78718,81196,84975,91573,93950
"전라북도","75~79세",78204,77832,75849,74973,74278
"전라북도","80~84세",52557,54685,56799,57322,58681
"전라북도","85~89세",24932,26724,29195,32039,34528
"전라북도","90~94세",7685,8587,9625,10844,11949
"전라북도","95~99세",1828,2021,2007,2118,2214
"전라북도","100세이상",211,246,275,324,357
"전라북도","15세미만",231365,223458,215417,209198,201102
"전라북도","15~64세",1252888,1246253,1232316,1217575,1197301
"전라북도","65세이상",341921,348446,359690,375993,388650
"전라북도","85세이상",34656,37578,41102,45325,49048
"전라북도","평균연령",43.3,43.9,44.5,45.1,45.7
"전라북도","중위연령",44.7,45.4,46.2,46.9,47.8
"전라남도","합계",1792319,1790352,1787543,1788807,1778124
"전라남도","0~4세",70463,65729,61430,56489,51335
